Sl.No.,GLIMS_ID,Glacier_ID,Longitude,Latitude,Area_sqKM,Elev_Max(m),Elev_Min(m),Elev_Mean(m),Slope_Max(degree),Slope_Mean(degree),Slope_Min(degree),Aspect(degree),Basin
58,G090805E28003N,MChgr16_571,90.805,28.003,0.123,5323,5190,5266,48,22,1,275,Chamkhar Chhu
59,G090806E28011N,MChgr16_570,90.806,28.011,0.182,5419,5222,5304,44,21,1,240,Chamkhar Chhu
60,G090502E28016N,MChgr16_518,90.502,28.016,0.139,5410,5181,5248,67,27,0,126,Chamkhar Chhu
61,G090567E28036N,MChgr16_523,90.567,28.036,0.382,5615,5327,5487,66,18,1,216,Chamkhar Chhu
62,G090645E28047N,MChgr16_552,90.645,28.047,0.051,5343,5244,5296,49,18,1,117,Chamkhar Chhu
63,G090649E28044N,MChgr16_553,90.649,28.044,0.032,5313,5242,5290,44,18,3,150,Chamkhar Chhu
64,G090511E28038N,MChgr16_519,90.511,28.038,15.433,6388,4689,5261,86,24,0,142,Chamkhar Chhu
65,G090741E27915N,MChgr16_583,90.741,27.915,0.039,5304,5227,5266,31,16,1,202,Chamkhar Chhu
66,G090610E28036N,MChgr16_547,90.61,28.036,0.319,5638,5320,5499,79,20,1,104,Chamkhar Chhu
67,G090751E28019N,MChgr16_565,90.751,28.019,0.053,5476,5325,5419,64,30,4,209,Chamkhar Chhu
68,G090784E27970N,MChgr16_574,90.784,27.97,0.117,5297,5168,5226,54,22,1,271,Chamkhar Chhu
69,G090568E27902N,MChgr16_504,90.568,27.902,0.153,5283,5116,5207,60,20,2,72,Chamkhar Chhu
70,G090559E27909N,MChgr16_506,90.559,27.909,0.319,5425, 5029,5219,66,27,1,167,Chamkhar Chhu
71,G090550E27907N,MChgr16_507,90.55,27.907,0.207,5447, 5105,5271,62,29,1,181,Chamkhar Chhu
72,G090578E27830N,MChgr16_500,90.578,27.83,0.085,5366, 5212,5297,46,21,2,90,Chamkhar Chhu
73,G090580E27836N,MChgr16_501,90.58,27.836,0.131,5311, 5158,5224,54,19,1,104,Chamkhar Chhu
74,G090574E27838N,MChgr16_502,90.574,27.838,0.295,5261, 5092,5175,51,17,0,201,Chamkhar Chhu
75,G090587E27843N,MChgr16_503,90.587,27.843,0.288,5266, 5134,5195,40,15,0,201,Chamkhar Chhu
76,G090799E27893N,MChgr16_589,90.799,27.893,0.291,5282, 5030,5168,51,18,1,91,Chamkhar Chhu
77,G090792E27909N,MChgr16_588,90.792,27.909,2.759,5441, 4973,5257,70,13,0,119,Chamkhar Chhu
78,G090782E27899N,MChgr16_587,90.782,27.899,0.099,5435, 5178,5312,66,34,2,180,Chamkhar Chhu
79,G090777E27904N,MChgr16_586,90.777,27.904,0.429,5472, 4964,5204,66,23,1,275,Chamkhar Chhu
80,G090782E27915N,MChgr16_584,90.782,27.915,0.051,5325, 5175,5255,53,26,3,278,Chamkhar Chhu
81,G090565E27904N,MChgr16_505,90.565,27.904,0.033,5428, 5297,5364,48,28,5,143,Chamkhar Chhu
82,G090780E27912N,MChgr16_585,90.78,27.912,0.091,5369, 5099,5190,55,25,3,292,Chamkhar Chhu
83,G090652E28043N,MChgr16_554,90.652,28.043,0.048,5316, 5132,5224,57,35,4,223,Chamkhar Chhu
84,G090500E28009N,MChgr16_516,90.5,28.009,0.063,5457, 5292,5379,61,30,3,88,Chamkhar Chhu
85,G090615E27996N,MChgr16_543,90.615,27.996,0.107,5410, 5324,5362,58,16,0,181,Chamkhar Chhu
86,G090626E27987N,MChgr16_539,90.626,27.987,0.057,5362, 5142,5235,72,41,8,162,Chamkhar Chhu
87,G090634E27982N,MChgr16_537,90.634,27.982,0.034,5446, 5308,5377,70,36,1,124,Chamkhar Chhu
88,G090576E27989N,MChgr16_530,90.576,27.989,0.011,5509, 5460,5490,50,26,5,202,Chamkhar Chhu
89,G090800E27993N,MChgr16_572,90.8,27.993,0.035,5400, 5228,5304,58,35,16,295,Chamkhar Chhu
90,G090578E27992N,MChgr16_528,90.578,27.992,0.11,5508, 5365,5431,52,21,2,93,Chamkhar Chhu
91,G091605E27897N,MDagr16_696,91.605,27.897,0.143,5309, 5047,5153,65,26,3,279,Dangme Chhu
92,G091594E27860N,MDagr16_699,91.594,27.86,0.448,5235, 4902,5057,66,25,1,234,Dangme Chhu
93,G091485E27938N,MDagr16_691,91.485,27.938,0.558,5562, 4996,5187,68,28,0,177,Dangme Chhu
94,G091496E27933N,MDagr16_694,91.496,27.933,0.023,5180, 5011,5101,52,35,16,209,Dangme Chhu
95,G091475E27933N,MDagr16_690,91.475,27.933,0.365,5290, 4936,5140,66,21,1,122,Dangme Chhu
96,G091469E27932N,MDagr16_689,91.469,27.932,0.042,5186, 5040,5112,56,26,1,208,Dangme Chhu
97,G091430E27948N,MDagr16_687,91.43,27.948,0.247,5121, 4827,4934,56,19,0,220,Dangme Chhu
98,G091445E27945N,MDagr16_688,91.445,27.945,0.055,5147, 4965,5045,47,22,4,98,Dangme Chhu
99,G091423E27951N,MDagr16_685,91.423,27.951,0.045,5134, 5024,5085,51,22,1,173,Dangme Chhu
100,G091493E27934N,MDagr16_693,91.493,27.934,0.037,5174, 5052,5104,54,29,9,206,Dangme Chhu
101,G091428E27953N,MDagr16_686,91.428,27.953,0.069,5163, 4991,5081,58,22,2,176,Dangme Chhu
102,G091368E27851N,MDagr16_680,91.368,27.851,0.16,5267, 4962,5101,78,29,0,108,Dangme Chhu
103,G091370E27860N,MDagr16_681,91.37,27.86,0.408,5149, 4770,4930,75,27,0,96,Dangme Chhu
104,G091378E27906N,MDagr16_682,91.378,27.906,0.083,5156, 4947,5053,63,26,1,106,Dangme Chhu
105,G091378E27914N,MDagr16_683,91.378,27.914,0.04,5069, 4915,4981,63,25,0,130,Dangme Chhu
106,G091501E27935N,MDagr16_695,91.501,27.935,0.341,5485, 4870,5245,66,29,1,129,Dangme Chhu
107,G091419E27949N,MDagr16_684,91.419,27.949,0.043,5023, 4930,4973,54,21,1,204,Dangme Chhu
108,G091612E27863N,MDagr16_698,91.612,27.863,0.037,4892, 4819,4857,43,23,2,299,Dangme Chhu
109,G091488E27939N,MDagr16_692,91.488,27.939,0.016,5295, 5215,5253,61,37,5,190,Dangme Chhu
110,G091570E27850N,MDagr16_700,91.57,27.85,0.042,5101, 4970,5021,71,23,2,218,Dangme Chhu
111,G091610E27896N,MDagr16_697,91.61,27.896,0.07,5347, 5161,5264,60,26,1,84,Dangme Chhu
112,G089111E27542N,WHagr16_1,89.111,27.542,0.09,5348, 5070,5248,66,36,2,278,Haa Chhu
113,G089116E27549N,WHagr16_2,89.116,27.549,0.08,5579, 5317,5460,63,34,4,203,Haa Chhu
114,G089161E27574N,WHagr16_3,89.161,27.574,0.103,5624, 5377,5524,67,40,3,283,Haa Chhu
115,G090773E27933N,MKugr16_593,90.773,27.933,0.117,5468,5181,5318,47,22,2,128,Kuri Chhu
116,G090777E27943N,MKugr16_594,90.777,27.943,0.811,5499,5259,5363,64,16,0,123,Kuri Chhu
117,G090811E28006N,MKugr16_598,90.811,28.006,0.347,5307,5124,5219,50,13,0,145,Kuri Chhu
118,G090806E28017N,MKugr16_599,90.806,28.017,0.315,5424,5162,5268,64,15,0,192,Kuri Chhu
119,G090821E28025N,MKugr16_600,90.821,28.025,8.462,6110,4564,5230,71,15,0,149,Kuri Chhu
120,G090840E28037N,MKugr16_601,90.84,28.037,3.102,5860,4960,5303,76,21,0,172,Kuri Chhu
121,G090853E28027N,MKugr16_602,90.853,28.027,0.102,5283,5086,5187,46,22,0,223,Kuri Chhu
122,G090913E28027N,MKugr16_604,90.913,28.027,0.071,5317,5226,5267,56,25,2,237,Kuri Chhu
123,G090925E28042N,MKugr16_606,90.925,28.042,0.196,5320,5154,5225,55,17,0,206,Kuri Chhu
124,G090863E28040N,MKugr16_603,90.863,28.04,5.195,5867,4665,5294,75,22,0,157,Kuri Chhu
125,G090924E28038N,MKugr16_605,90.924,28.038,0.03,5053,4937,4971,63,23,1,76,Kuri Chhu
126,G090785E27920N,MKugr16_592,90.785,27.92,0.35,5388,5077,5289,56,17,2,87,Kuri Chhu
127,G090791E27972N,MKugr16_595,90.791,27.972,0.162,5331,5111,5175,60,22,0,182,Kuri Chhu
128,G091265E27880N,MKugr16_611,91.265,27.88,0.075,4904,4755,4819,64,21,1,95,Kuri Chhu
129,G091439E27951N,MKugr16_671,91.439,27.951,0.238,5109,4867,5012,55,21,0,120,Kuri Chhu
130,G091423E27955N,MKugr16_673,91.423,27.955,0.413,5236,4887,5075,62,19,0,134,Kuri Chhu
131,G091411E28013N,MKugr16_653,91.411,28.013,0.777,5558,5024,5274,77,25,0,136,Kuri Chhu
132,G091427E28011N,MKugr16_655,91.427,28.011,0.205,5293,4838,5004,58,25,1,240,Kuri Chhu
133,G091466E27942N,MKugr16_669,91.466,27.942,0.265,4866,4693,4776,58,15,0,165,Kuri Chhu
134,G091470E27959N,MKugr16_663,91.47,27.959,0.576,4820,4559,4699,59,17,0,221,Kuri Chhu
135,G091476E27973N,MKugr16_662,91.476,27.973,1.758,5831,4950,5412,80,27,0,184,Kuri Chhu
136,G091465E27992N,MKugr16_660,91.465,27.992,1.064,6124,5098,5625,82,34,0,167,Kuri Chhu
137,G091447E28004N,MKugr16_658,91.447,28.004,0.105,5366,5225,5280,57,22,1,194,Kuri Chhu
138,G091442E28002N,MKugr16_657,91.442,28.002,0.073,5485,5258,5391,59,34,9,131,Kuri Chhu
139,G091279E27916N,MKugr16_613,91.279,27.916,0.128,5329,5037,5160,64,28,2,58,Kuri Chhu
140,G091275E27919N,MKugr16_614,91.275,27.919,0.229,5226,5065,5124,46,13,0,214,Kuri Chhu
141,G091251E27933N,MKugr16_620,91.251,27.933,0.218,5463,5191,5308,75,29,1,152,Kuri Chhu
142,G091251E27936N,MKugr16_621,91.251,27.936,0.093,5322,5119,5216,63,34,5,67,Kuri Chhu
143,G091250E27944N,MKugr16_623,91.25,27.944,0.477,5251,4984,5078,62,12,0,193,Kuri Chhu
144,G091246E27940N,MKugr16_622,91.246,27.94,0.276,5396,5017,5171,62,22,0,237,Kuri Chhu
145,G091265E27951N,MKugr16_624,91.265,27.951,0.061,5302,5097,5208,64,31,3,178,Kuri Chhu
146,G091259E27959N,MKugr16_626,91.259,27.959,1.434,5730,4507,4957,77,29,0,119,Kuri Chhu
147,G091262E27980N,MKugr16_628,91.262,27.98,0.164,5337,4997,5218,62,31,2,91,Kuri Chhu
148,G091253E27978N,MKugr16_627,91.253,27.978,0.665,5247,4827,5020,67,13,0,156,Kuri Chhu
149,G091272E28011N,MKugr16_629,91.272,28.011,0.084,5262,5094,5165,61,26,0,260,Kuri Chhu
150,G091294E28027N,MKugr16_636,91.294,28.027,0.179,5508,5096,5291,72,27,2,165,Kuri Chhu
151,G091302E28026N,MKugr16_637,91.302,28.026,0.209,5587,5188,5429,60,27,0,138,Kuri Chhu
152,G091309E28027N,MKugr16_638,91.309,28.027,0.653,5500,4929,5301,74,19,0,120,Kuri Chhu
153,G091369E28034N,MKugr16_641,91.369,28.034,1.775,5456,4709,5162,82,18,0,46,Kuri Chhu
154,G091368E28019N,MKugr16_642,91.368,28.019,1.629,5594,4757,5171,80,18,0,33,Kuri Chhu
155,G091370E28007N,MKugr16_644,91.37,28.007,0.156,5246,4974,5119,78,23,0,51,Kuri Chhu
156,G091332E28044N,MKugr16_640,91.332,28.044,12.181,5599,4619,5193,78,16,0,171,Kuri Chhu
157,G091317E28028N,MKugr16_639,91.317,28.028,0.541,5312,4858,5107,60,20,0,100,Kuri Chhu
158,G091350E28028N,MKugr16_650,91.35,28.028,0.168,5412,5012,5237,60,31,2,264,Kuri Chhu
159,G091352E28019N,MKugr16_648,91.352,28.019,0.284,5372,5000,5173,69,29,1,252,Kuri Chhu
160,G091360E28015N,MKugr16_646,91.36,28.015,0.064,5236,5019,5156,74,18,0,68,Kuri Chhu
161,G091355E28016N,MKugr16_647,91.355,28.016,0.087,5299,5001,5159,72,35,0,201,Kuri Chhu
162,G091326E27995N,MKugr16_632,91.326,27.995,0.253,5161,4845,4953,61,21,1,249,Kuri Chhu
163,G091331E27994N,MKugr16_633,91.331,27.994,0.066,5030,4904,4979,57,22,1,124,Kuri Chhu
164,G091314E28009N,MKugr16_634,91.314,28.009,0.42,5267,4928,5049,67,19,1,242,Kuri Chhu
165,G091312E28017N,MKugr16_635,91.312,28.017,0.126,5160,5025,5101,52,17,1,228,Kuri Chhu
166,G091277E28011N,MKugr16_630,91.277,28.011,0.042,5234,5093,5175,50,26,1,155,Kuri Chhu
167,G091372E28011N,MKugr16_643,91.372,28.011,0.024,5217,5080,5148,74,21,0,45,Kuri Chhu
168,G091401E28018N,MKugr16_651,91.401,28.018,0.126,5189,4889,5033,79,21,0,79,Kuri Chhu
169,G091405E28013N,MKugr16_652,91.405,28.013,0.036,5364,4995,5226,80,27,0,88,Kuri Chhu
170,G091458E28000N,MKugr16_659,91.458,28.0,0.67,6426,4932,5559,83,36,0,212,Kuri Chhu
171,G091466E27978N,MKugr16_661,91.466,27.978,0.82,5597,4961,5183,70,27,0,282,Kuri Chhu
172,G091483E27961N,MKugr16_664,91.483,27.961,1.664,5805,4930,5331,79,31,0,265,Kuri Chhu
173,G091478E27950N,MKugr16_665,91.478,27.95,0.855,5648,5022,5243,73,29,1,264,Kuri Chhu
174,G091257E27876N,MKugr16_608,91.257,27.876,0.136,5328,5041,5187,66,31,4,198,Kuri Chhu
175,G091363E27858N,MKugr16_679,91.363,27.858,0.188,5366,4940,5152,68,37,5,262,Kuri Chhu
176,G091367E27867N,MKugr16_678,91.367,27.867,0.121,5325,4934,5125,57,32,1,258,Kuri Chhu
177,G091370E27873N,MKugr16_677,91.37,27.873,0.077,5163,4987,5097,56,29,1,270,Kuri Chhu
178,G091376E27908N,MKugr16_675,91.376,27.908,0.076,5063,4923,5007,55,25,1,267,Kuri Chhu
179,G091377E27929N,MKugr16_674,91.377,27.929,0.069,5138,4981,5057,74,23,0,83,Kuri Chhu
180,G091325E27990N,MKugr16_631,91.325,27.99,0.251,5219,4879,5030,60,24,2,269,Kuri Chhu
181,G091429E27956N,MKugr16_672,91.429,27.956,0.03,5238,5090,5161,54,29,8,72,Kuri Chhu
182,G091257E27927N,MKugr16_618,91.257,27.927,0.053,5216,5030,5138,70,30,4,160,Kuri Chhu
183,G091439E28003N,MKugr16_656,91.439,28.003,0.046,5624,5489,5562,64,39,1,166,Kuri Chhu
184,G091351E28025N,MKugr16_649,91.351,28.025,0.084,5407,5072,5278,65,32,2,258,Kuri Chhu
185,G091411E28017N,MKugr16_654,91.411,28.017,0.022,5470,5341,5411,71,34,2,174,Kuri Chhu
186,G091471E27937N,MKugr16_667,91.471,27.937,0.208,5280,4917,5091,60,28,0,224,Kuri Chhu
187,G091472E27943N,MKugr16_670,91.472,27.943,0.113,5059, 4913,4977,63,25,1,243,Kuri Chhu
188,G091375E27905N,MKugr16_676,91.375,27.905,0.088,5216, 4875,5074,67,33,3,226,Kuri Chhu
189,G091270E27921N,MKugr16_615,91.27,27.921,0.091,5177, 5024,5096,53,22,1,167,Kuri Chhu
190,G091467E27936N,MKugr16_668,91.467,27.936,0.129,5254, 4877,5056,62,33,0,275,Kuri Chhu
191,G091363E28012N,MKugr16_645,91.363,28.012,0.051,5165, 4850,5017,83,27,0,94,Kuri Chhu
192,G091256E27924N,MKugr16_617,91.256,27.924,0.023,5122, 5002,5053,49,29,6,244,Kuri Chhu
193,G091282E27885N,MKugr16_612,91.282,27.885,0.266,5035, 4728,4810,54,18,0,145,Kuri Chhu
194,G091255E27879N,MKugr16_609,91.255,27.879,0.057,5325, 5103,5235,73,43,1,169,Kuri Chhu
195,G091251E27878N,MKugr16_607,91.251,27.878,0.114,5266, 4990,5094,62,33,7,282,Kuri Chhu
196,G091258E27882N,MKugr16_610,91.258,27.882,0.233,5172, 4822,4966,67,31,1,247,Kuri Chhu
197,G091477E27942N,MKugr16_666,91.477,27.942,0.638,5642, 5009,5185,72,30,0,257,Kuri Chhu
198,G090843E27878N,MKugr16_591,90.843,27.878,0.039,5486, 5264,5389,67,36,0,157,Kuri Chhu
199,G090836E27874N,MKugr16_590,90.836,27.874,0.036,5325, 5079,5184,68,43,3,81,Kuri Chhu
200,G090797E27971N,MKugr16_597,90.797,27.971,0.015,5344, 5304,5323,47,20,2,139,Kuri Chhu
201,G090793E27969N,MKugr16_596,90.793,27.969,0.014,5394, 5345,5370,45,22,7,113,Kuri Chhu
202,G091242E27932N,MKugr16_619,91.242,27.932,0.139,5121, 4887,4968,71,29,1,260,Kuri Chhu
203,G091261E27923N,MKugr16_616,91.261,27.923,0.079,5158, 4980,5044,69,27,1,130,Kuri Chhu
204,G091268E27954N,MKugr16_625,91.268,27.954,0.146,5092, 4742,4899,75,38,1,126,Kuri Chhu
205,G090280E27916N,MMagr16_411,90.28,27.916,0.172,5462, 5261,5387,67,14,0,248,Mangde Chhu
206,G090299E27904N,MMagr16_407,90.299,27.904,3.853,5694, 5137,5421,71,14,0,216,Mangde Chhu
207,G090285E27913N,MMagr16_410,90.285,27.913,0.747,5525, 5158,5399,64,14,0,223,Mangde Chhu
208,G090315E27900N,MMagr16_406,90.315,27.9,1.02,5661, 5269,5434,58,18,0,145,Mangde Chhu
209,G090307E27915N,MMagr16_412,90.307,27.915,2.372,5689, 5159,5376,68,17,0,131,Mangde Chhu
210,G090292E27925N,MMagr16_413,90.292,27.925,0.669,5692,5231,5421,64,20,1,135,Mangde Chhu
211,G090281E27936N,MMagr16_414,90.281,27.936,0.187,5684,5385,5511,62,22,0,136,Mangde Chhu
212,G090275E27946N,MMagr16_415,90.275,27.946,0.052,5607,5425,5502,68,34,4,60,Mangde Chhu
213,G090272E27949N,MMagr16_416,90.272,27.949,0.14,5640,5391,5531,59,26,1,111,Mangde Chhu
214,G090293E27967N,MMagr16_418,90.293,27.967,2.559,5791,5300,5575,78,15,0,195,Mangde Chhu
215,G090280E27965N,MMagr16_417,90.28,27.965,1.531,5785,5308,5517,66,16,0,161,Mangde Chhu
216,G090304E27948N,MMagr16_420,90.304,27.948,0.367,5656,5370,5534,52,19,1,239,Mangde Chhu
217,G090324E27955N,MMagr16_422,90.324,27.955,0.106,5605,5389,5503,58,26,2,222,Mangde Chhu
218,G090328E27955N,MMagr16_424,90.328,27.955,0.049,5522,5311,5428,59,29,10,63,Mangde Chhu
219,G090327E27953N,MMagr16_423,90.327,27.953,0.023,5580,5479,5531,64,30,1,178,Mangde Chhu
220,G090310E27959N,MMagr16_421,90.31,27.959,2.095,5700,5326,5519,58,12,0,146,Mangde Chhu
221,G090300E27952N,MMagr16_419,90.3,27.952,0.641,5670,5336,5526,57,14,0,212,Mangde Chhu
222,G090318E27966N,MMagr16_425,90.318,27.966,1.345,5795,5335,5496,71,14,0,73,Mangde Chhu
223,G090309E27979N,MMagr16_426,90.309,27.979,2.583,5842,5280,5559,74,15,0,170,Mangde Chhu
224,G090316E27996N,MMagr16_427,90.316,27.996,0.437,5661,5408,5505,51,16,0,80,Mangde Chhu
225,G090332E28018N,MMagr16_429,90.332,28.018,0.982,5834,5433,5606,66,15,0,219,Mangde Chhu
226,G090338E28017N,MMagr16_430,90.338,28.017,0.217,5803,5520,5660,66,26,1,166,Mangde Chhu
227,G090336E28009N,MMagr16_428,90.336,28.009,0.038,5702,5499,5574,67,36,5,250,Mangde Chhu
228,G090343E28021N,MMagr16_431,90.343,28.021,0.175,5564,5427,5509,61,14,0,132,Mangde Chhu
229,G090345E28029N,MMagr16_432,90.345,28.029,1.632,5829,5390,5615,62,15,0,95,Mangde Chhu
230,G090343E28041N,MMagr16_433,90.343,28.041,2.334,5843,5312,5581,81,14,0,99,Mangde Chhu
231,G090347E28049N,MMagr16_434,90.347,28.049,0.048,5562,5410,5489,41,25,3,54,Mangde Chhu
232,G090390E28047N,MMagr16_438,90.39,28.047,2.756,6045,5343,5615,72,14,0,174,Mangde Chhu
233,G090382E28041N,MMagr16_437,90.382,28.041,0.68,5859,5409,5603,69,19,0,169,Mangde Chhu
234,G090377E28033N,MMagr16_436,90.377,28.033,0.216,5857,5472,5645,61,26,1,147,Mangde Chhu
235,G090388E28017N,MMagr16_440,90.388,28.017,2.733,5742,5270,5464,70,19,0,277,Mangde Chhu
236,G090373E27998N,MMagr16_445,90.373,27.998,0.267,5858,5279,5563,61,27,1,228,Mangde Chhu
237,G090387E27997N,MMagr16_444,90.387,27.997,1.117,5651,5320,5493,64,18,0,222,Mangde Chhu
238,G090392E27981N,MMagr16_448,90.392,27.981,1.033,5668,5288,5462,65,16,0,263,Mangde Chhu
239,G090383E27972N,MMagr16_450,90.383,27.972,0.045,5493,5367,5432,56,28,2,198,Mangde Chhu
240,G090377E27962N,MMagr16_452,90.377,27.962,0.271,5677,5319,5482,62,24,1,277,Mangde Chhu
241,G090375E27959N,MMagr16_456,90.375,27.959,0.032,5506,5379,5427,64,27,3,284,Mangde Chhu
